,train_loss,val_loss
0,0.33784086,tensor(0.3002)
1,0.26107627,tensor(0.2202)
2,0.18591166,tensor(0.1520)
3,0.13013145,tensor(0.1079)
4,0.09684992,tensor(0.0830)
5,0.0781424,tensor(0.0684)
6,0.06682632,tensor(0.0591)
7,0.059423544,tensor(0.0529)
8,0.054538984,tensor(0.0488)
9,0.051407214,tensor(0.0462)
10,0.04947085,tensor(0.0446)
11,0.048317183,tensor(0.0437)
12,0.047654886,tensor(0.0431)
13,0.047288317,tensor(0.0428)
14,0.047092665,tensor(0.0426)
15,0.046991862,tensor(0.0425)
16,0.0469417,tensor(0.0425)
17,0.04691761,tensor(0.0425)
18,0.046906427,tensor(0.0425)
19,0.046901494,tensor(0.0424)
